"Keyword","Score"
"everyone","0.58316","7"
"business career","0.58054","1"
"muslims","0.58032","32"
"great gift","0.57939","2"
"reagan republicans","0.57928","1"
"write","0.57880","9"
"center","0.57678","9"
"the islamic center","0.57678","1"
"'m","0.57570","23"
"same way","0.57556","1"
"somalia","0.57523","2"
"front lines.meanwhile","0.57404","1"
"nominee donald trump","0.57369","1"
"bad things","0.57357","1"
"little falls","0.57235","2"
"rob longyeah","0.57151","2"
"lutheran","0.57129","2"
"illegal immigrants","0.57129","1"
"intimidation parade","0.57123","1"
"arab american","0.57103","1"
"own party","0.57000","1"
"300-odd people","0.56631","1"
"baum","0.56624","1"
"september 22","0.56572","1"
"overall message","0.56220","1"
"ryan","0.56203","5"
"al novstrup","0.56046","1"
"ron branstner.ron branstnerfirst","0.56016","1"
"working","0.55914","10"
"big speech","0.55775","3"
"minnesotan","0.55740","2"
"gun control","0.55722","1"
"life","0.55280","10"
"trump tower","0.55185","2"
"sharia law","0.55047","5"
"chana joffe-walt","0.54943","2"
"aces bar","0.54755","1"
"ricochet hosts","0.54468","1"
"there.zoe chaceone","0.54433","1"
"paul ryan.neil patrick harris","0.54308","1"
"reasonable zoning","0.54253","1"
"same ideas","0.54155","1"
"refugee resettlement program","0.54071","1"
"kirsty marone","0.53985","2"
"paul brandmire","0.53975","2"
"social security","0.53949","5"
"security","0.53949","8"
"giovanni","0.53940","1"
"john esposito","0.53937","2"
"long time","0.53893","1"
"three-year-old","0.53845","1"
"national movement","0.53809","1"
"david neiwert","0.53648","2"
"news","0.53584","4"
"national news","0.53584","1"
"muslim immigration","0.53302","2"
"use","0.53165","11"
"great america","0.53120","1"
"the republican national committee","0.53101","1"
"younger people","0.53092","1"
"muhammad","0.53062","4"
"words","0.52995","8"
"mini stroke here.peter robinsonrob","0.52789","1"
"stearns county","0.52770","2"
"high school","0.52624","1"
"implicit racism","0.52620","1"
"sally jo sorensen","0.52573","1"
"major group","0.52450","1"
"republican party","0.52250","13"
"applebee 's","0.52135","2"
"hall","0.52079","4"
"engy abdelkader","0.52076","2"
"press conferences","0.52010","1"
"taxpayers","0.51968","5"
"end","0.51769","9"
"andrew jackson","0.51683","1"
"something","0.51678","9"
"raise tariffs","0.51606","1"
"sings","0.51525","3"
"chacethe","0.51357","6"
"zoe chaceyour friend","0.51252","1"
"chace","0.51162","6"
"zoe chace","0.51162","7"
"pay","0.51161","4"
"normal things","0.50984","1"
"the united states","0.50983","6"
"zoning hearing","0.50772","1"
"fine day","0.50584","1"
"suea moratorium","0.50513","1"
"brigitte gabriel","0.50416","2"
"dark red lipstick","0.50276","1"
"harris","0.50257","3"
"neil patrick harris","0.50257","2"
"community","0.50151","4"
"reince","0.50097","7"
"reince priebus.zoe chacemhm.ira glassand","0.50097","1"
"picnic table","0.50055","1"
"stood","0.49643","7"
"stephanie foo","0.49529","2"
"room","0.49514","10"
"entire room","0.49514","1"
"music help","0.49403","1"
"huge television screen","0.49250","1"
"tragic opera.zoe chacesomeone should.ira glassas","0.49101","1"
"stephen oremus","0.49059","2"
"problem","0.48856","9"
"like.ira glassthe problem","0.48856","1"
"better","0.48854","1"
"read","0.48760","7"
"basic story","0.48738","1"
"off-duty police officer","0.48671","1"
"david","0.48671","2"
"mark","0.48651","2"
"free trade","0.48620","2"
"little muhammad","0.48604","1"
"seem","0.48497","7"
"christian wedding","0.48496","1"
"course","0.48474","4"
"other meetings","0.48433","1"
"party line","0.48231","2"
"make","0.48192","10"
"memorable conversation","0.48141","1"
"becomes","0.48135","6"
"30-year-old wage earner","0.48080","1"
"sides.tom emmerif","0.47960","1"
"population","0.47957","5"
"fastest-assimilating populations","0.47957","1"
"chacei","0.47817","4"
"that.zoe chacei","0.47817","1"
"emmer","0.47642","4"
"more immigrants","0.47607","1"
"ron branstner 's","0.47595","1"
"local level","0.47506","1"
"locals","0.47506","1"
"built","0.47472","5"
"coon rapids ihop","0.47429","1"
"mr torey malatia","0.47414","2"
"somali refugee muslim american.zoe chacei","0.47312","1"
"push","0.47254","5"
"described","0.47189","4"
"susan burton","0.47186","2"
"other time","0.47157","1"
"somali women","0.47155","1"
"residential area","0.47120","1"
"catholic charities","0.46934","1"
"minnesota delegation","0.46746","1"
"unity rallies","0.46739","1"
"mall","0.46472","7"
"the crossroads mall","0.46472","1"
"dangerous muslims","0.46425","1"
"terrorist attacks","0.46342","2"
"many states","0.46267","1"
"sean cole","0.46151","2"
"ira glassone way","0.46045","1"
"give","0.45946","11"
"rental properties","0.45917","1"
"california","0.45902","1"
"iran","0.45902","1"
"social groups","0.45894","1"
"whole thing started.zoe","0.45886","1"
"cloud.tom","0.45856","1"
"plant crops","0.45711","1"
"scott","0.45677","3"
"genital mutilation","0.45546","1"
"republican leadership","0.45515","3"
"last statement","0.45333","1"
"better place","0.45119","2"
"syrian migrant crisis","0.45066","1"
"foreign governments","0.44889","1"
"white","0.44824","3"
"local party meetings","0.44786","1"
"larry arnn","0.44694","2"
"start","0.44210","15"
"that night","0.44183","1"
"years.zoe chacethis","0.44135","1"
"old ladies","0.44108","1"
"mexicans","0.44094","2"
"creeping sharia","0.44038","1"
"two hours","0.43873","1"
"emmanuel dzotsi","0.43829","2"
"residents","0.43804","3"
"decided","0.43778","5"
"opinion pieces","0.43685","1"
"racial resentment.avik roywhat","0.43659","1"
"knsi","0.43475","1"
"whole city","0.43471","1"
"rubio","0.43397","1"
"wish","0.43381","3"
"lost cause","0.43380","1"
"music class","0.43362","1"
"neighborhood discussion","0.43216","1"
"warning shot","0.43154","1"
"lot less","0.43101","1"
"pain.rob longi guess","0.43080","1"
"long","0.42940","7"
"carry license","0.42896","1"
"dakota","0.42782","3"
"major assault","0.42612","1"
"john","0.42575","3"
"america group","0.42496","1"
"christopher [","0.42360","1"
"stabbing","0.42221","6"
"koenig","0.42098","1"
"many times","0.41917","1"
"local congressman","0.41857","1"
"too.tom emmeri 'm","0.41855","1"
"county republican party","0.41800","1"
"hard position","0.41771","1"
"miki","0.41755","1"
"chance.tom emmerfor","0.41705","1"
"wife","0.41693","5"
"facing","0.41685","6"
"taxes","0.41661","3"
"allowed","0.41632","5"
"race","0.41573","4"
"cindy","0.41570","1"
"big beer glasses","0.41563","1"
"african","0.41362","2"
"again.bobby bensoni","0.41347","1"
"bensoni","0.41347","4"
"leave.zoe chacethat","0.41297","1"
"chacethat","0.41297","4"
"crowd","0.41257","4"
"booed.avik roythe crowd","0.41257","1"
"presidential campaigns","0.41195","2"
"sue","0.41143","2"
"ira glassthis","0.41136","2"
"nine-foot fence","0.41077","1"
"slow economic recovery","0.41035","1"
"house","0.41024","2"
"trump25","0.40974","2"
"america.donald trump25","0.40974","1"
"robert","0.40913","2"
"job","0.40795","5"
"american jobs","0.40795","1"
"all-out war","0.40795","1"
"whole group","0.40794","1"
"jeffrey","0.40760","1"
"government intervention","0.40751","1"
"peace","0.40609","9"
"the peace","0.40609","1"
"security policy","0.40566","5"
"afternoon","0.40560","1"
"tom emmerwhat","0.40510","4"
"convention","0.40510","4"
"national convention","0.40510","1"
"national one","0.40502","1"
"chacehe","0.40428","3"
"bad.zoe chacehe","0.40428","1"
"stabbed.zoe chaceon september","0.40402","1"
"feeling","0.40355","6"
"dana chivvis","0.40330","2"
"primaries","0.40260","4"
"refugees.ron branstnerand","0.40202","1"
"program continues.it","0.40115","1"
"glass","0.40076","5"
"newt gingrich","0.40059","2"
"public radio exchange","0.40048","1"
"marco","0.39963","3"
"stephen","0.39929","2"
"clearwater road","0.39785","2"
"opposite sides","0.39729","1"
"side","0.39729","7"
"kind","0.39669","7"
"kern","0.39581","2"
"first information","0.39553","1"
"old school republicans","0.39468","1"
"social","0.39464","3"
"neil drumming","0.39447","2"
"the republican party","0.39188","11"
"michigan","0.39176","2"
"westland","0.38998","1"
"different message","0.38888","1"
"happen","0.38734","12"
"muslim ban","0.38688","1"
"supporters","0.38563","4"
"full-throated supporter","0.38563","1"
"couple","0.38403","1"
"presidential primaries","0.38401","1"
"better way","0.38371","5"
"tierney","0.38330","1"
"model","0.38249","2"
"whole united states","0.38237","1"
"small route","0.38092","1"
"unknown coalition","0.38075","1"
"it.bobby","0.37950","1"
"america.zoe chaceron branstner","0.37948","1"
"branstner","0.37948","6"
"the day","0.37938","3"
"cloud/act","0.37875","1"
"nancy","0.37831","1"
"updike","0.37764","1"
"first time","0.37725","1"
"ayan","0.37716","2"
"dc","0.37668","1"
"michael friedman","0.37656","1"
"friedman","0.37656","1"
"holding","0.37607","4"
"somebody","0.37312","7"
"carol rupar","0.37310","4"
"zoe chacecarol","0.37203","2"
"befriended","0.37170","1"
"repeating","0.37152","2"
"glasszoe","0.37063","3"
"it.ira glasszoe chace","0.37063","1"
"mosque","0.37058","6"
"corner office","0.37044","1"
"tragic opera","0.36925","1"
"understand","0.36925","9"
"day.ayan omarat sundown","0.36852","1"
"troll","0.36849","1"
"schmidt park","0.36707","2"
"with.zoe chaceyeah.caroland","0.36594","1"
"imaginary story","0.36554","1"
"back","0.36525","1"
"exchange","0.36381","1"
"stations","0.36381","1"
"kent","0.36380","1"
"caribou coffee","0.36287","4"
"chicago","0.36240","2"
"chicago public radio","0.36240","1"
"elected official","0.35980","1"
"never-trump","0.35979","1"
"radin","0.35860","1"
"research help","0.35819","1"
"linda","0.35755","1"
"cloud citizens","0.35731","4"
"big question","0.35653","1"
"question","0.35653","7"
"fringe weirdos","0.35579","1"
"rock-ribbed conservative","0.35574","1"
"zoe chacecorrect.al novstrupi","0.35573","1"
"similar views","0.35554","1"
"views","0.35554","4"
"glassand","0.35552","3"
"painful.ira glassand","0.35552","1"
"zoe chaceevery","0.35522","1"
"next week","0.35498","2"
"poll numbers","0.35449","2"
"poll","0.35449","7"
"anything","0.35432","4"
"latin america","0.35413","2"
"core constituency","0.35408","1"
"republican events","0.35400","1"
"entire area","0.35340","1"
"welfare case.zoe chacetwo","0.35319","1"
"ronald reagan.james lileksrob","0.35272","1"
"waiting","0.35212","5"
"fuel","0.35211","2"
"speech recognition software","0.35192","1"
"south","0.35189","4"
"genachowski","0.35170","1"
"virnig","0.35145","1"
"donald trump","0.35118","21"
"put","0.35054","5"
"fear","0.35029","5"
"patrick","0.34946","3"
"syria","0.34845","1"
"audio","0.34717","4"
"corresponding audio","0.34717","1"
"interconnected web","0.34715","1"
"concern","0.34706","2"
"legitimate concerns","0.34706","1"
"ek","0.34705","1"
"certain forms","0.34703","1"
"kevin","0.34700","1"
"interfaith","0.34689","1"
"december 1","0.34647","1"
"song","0.34640","4"
"basketball court","0.34581","2"
"musical","0.34501","1"
"speak.zoe chacethe","0.34238","1"
"jonathan","0.34202","1"
"smoking ruin","0.34190","1"
"events","0.34113","3"
"kathleen","0.34092","1"
"learned","0.34087","4"
"abiade","0.34063","1"
"that.ira glassyeah.rob longbut","0.33997","1"
"african woman","0.33987","1"
"omar","0.33973","2"
"thisamericanlife.org","0.33885","1"
"receptive audience","0.33837","1"
"states","0.33834","1"
"points.the somalis","0.33682","1"
"post","0.33679","1"
"washington post","0.33679","1"
"robyn","0.33637","1"
"republican leaders","0.33537","1"
"music director","0.33482","1"
"kohl","0.33476","1"
"opera.ira glassthat","0.33471","1"
"kalia","0.33456","1"
"services","0.33442","2"
"social service","0.33442","1"
"small group","0.33377","1"
"semien","0.33223","1"
"contentious night","0.33137","1"
"imagine","0.33133","3"
"camp.the aces","0.33064","1"
"dress rehearsal","0.33020","1"
"room too.somali mani","0.33009","1"
"ringsmuth","0.32948","1"
"way murderous","0.32889","1"
"name","0.32883","4"
"bloody","0.32868","3"
"bloody ,","0.32868","1"
"explains","0.32845","4"
"little breather","0.32830","1"
"spending tastes","0.32684","1"
"belgium","0.32607","1"
"same problem","0.32571","1"
"better volunteers","0.32569","1"
"avrigan","0.32493","1"
"soviet menace","0.32493","1"
"months","0.32471","3"
"reliable sources","0.32464","1"
"sources","0.32464","2"
"produced","0.32464","2"
"jody","0.32391","1"
"period","0.32298","2"
"clearwater road.zoe chacecarol","0.32271","1"
"movie jaws","0.32237","1"
"considered","0.32217","3"
"paper","0.32204","2"
"grabbing","0.32101","3"
"natalie","0.32004","1"
"leibovich","0.31899","1"
"understand.ayan omarok","0.31893","1"
"annual budget","0.31878","1"
"more.zoe chacei","0.31878","1"
"issue.zoe chacekern","0.31876","1"
"watching","0.31868","5"
"anderson-lopez","0.31826","1"
"regulatory state","0.31793","1"
"economics","0.31786","1"
"huge economic burden","0.31786","1"
"felt","0.31778","4"
"boy","0.31763","5"
"zoe chacehave","0.31734","2"
"a bad day","0.31635","1"
"avik","0.31467","5"
"avik royno","0.31467","1"
"ban","0.31325","5"
"text message","0.31234","1"
"moment.zoe chaceand","0.31215","1"
"chaceand","0.31215","5"
"according","0.31186","3"
"violent extremism","0.31139","1"
"yussef","0.31129","1"
"loves","0.31076","6"
"line","0.31054","6"
"memory.zoe chaceand","0.31005","1"
"listen","0.31003","6"
"granddaughter","0.30967","6"
"the muslim brotherhood","0.30950","1"
"child","0.30946","3"
"hillary clinton","0.30930","2"
"chacebobby","0.30883","2"
"secure.zoe chacebobby","0.30883","1"
"dearborn","0.30868","4"
"menjivar","0.30828","1"
"street","0.30794","2"
"sizer","0.30768","1"
"defund planned parenthood","0.30671","2"
"entitlement","0.30636","2"
"novstrupyou","0.30610","2"
"me.zoe chacethere","0.30609","1"
"interest group","0.30596","1"
"transcribers","0.30587","1"
"tom emmerthey","0.30578","1"
"zoe chacethe","0.30447","2"
"national speaker.donald trumpand","0.30439","1"
"the center for security policy","0.30424","3"
"john mccain","0.30405","2"
"haji","0.30382","1"
"old republican values","0.30343","1"
"area.zoe chacecrossroads","0.30296","1"
"february of 2016","0.30268","1"
"hotel","0.30255","2"
"zoe chaceok","0.30243","2"
"tom emmer.when","0.30221","1"
"lose","0.30144","3"
"second-class citizens","0.30123","1"
"fighting","0.30076","5"
"presentation","0.30051","3"
"rick","0.30005","5"
"messy.ira glasszoe chace","0.29929","1"
"government office","0.29926","1"
"disaffected whites","0.29883","1"
"handouts","0.29786","1"
"political candidate","0.29777","1"
"multiplying","0.29660","1"
"days.newt gingrichlet","0.29597","1"
"pickled loon","0.29589","1"
"flipping thanks","0.29554","1"
"thanks","0.29554","5"
"costa","0.29546","1"
"germany","0.29524","1"
"college","0.29512","1"
"rnc","0.29450","2"
"behavior","0.29353","4"
"non-profits","0.29309","2"
"influx","0.29284","2"
"ted cruz 's","0.29253","1"
"sorensen","0.29168","1"
"ellison","0.29164","3"
"john ellison","0.29164","1"
"flip","0.29109","3"
"local opinion writer","0.29062","1"
"michigan.zoe chacefrom","0.29058","1"
"career","0.29027","1"
"priebus","0.29024","4"
"muslim wedding","0.29016","1"
"peri","0.28958","1"
"mosque/community center","0.28839","1"
"biggest donor","0.28827","1"
